icao,callsign,lat,lon,alt,gs,trk,vr
A00877,FAKE,40.266177733632794,-80.99402576412298,23872,141.25408546349962,63.6594864032654,2655
A01107,FAKE,40.38074970993592,-80.10341932406119,21266,593.9780186624571,240.27443023478756,2965
A00601,FAKE,40.80917202963692,-80.23765652132022,28334,233.2335657767645,107.11905433932971,-390
A00223,FAKE,40.38193844444152,-80.48186516453372,31217,475.6561647152357,152.14271008616512,23
A00239,FAKE,40.520083940286426,-80.88241487669484,27682,285.4610053197838,53.232480670266526,1502
A00714,FAKE,39.29048229751993,-79.05371992646269,31661,193.52917283699375,223.70337521403604,-1329
A00035,FAKE,41.55345290097367,-80.67424350351158,26529,341.4109588292939,235.24751380954726,93
A00638,FAKE,40.07219972863445,-80.50757776949216,39407,285.6595253145149,277.1117140909135,-2899
A01181,FAKE,39.56060754881237,-79.8104060950388,24553,276.5999471922147,276.9692471895168,-1747
A00237,FAKE,40.93327675410094,-80.05533804963535,40510,114.22534787293439,24.778140394412517,2384
A00368,FAKE,39.9504035150872,-80.19291158981983,29978,341.1881855091285,288.70393933454756,-30
A00060,FAKE,41.82933057486996,-80.46113097883682,21826,432.83482481198627,286.99042573479096,1642
A00322,FAKE,40.16219369255087,-79.41698044238258,26984,505.36194197442614,79.15340182808765,-944
A01099,FAKE,40.54712069803754,-80.50946543801226,36690,558.9291571752548,248.13483175034133,-1600
A00454,FAKE,39.728380698050564,-79.46782809253372,27434,305.78027035418324,14.81359535602683,117
A00397,FAKE,39.81310209308495,-80.75507819475712,20534,355.24568162813154,77.82571874631022,96
A01128,FAKE,40.42289103951975,-78.68680659835142,25185,114.81467809428838,86.78074904800275,2309
A01087,FAKE,39.75412041046898,-79.04463429781944,34154,488.56569740641896,27.95452474134666,-1375
A00691,FAKE,40.248331148958094,-79.37779576841903,31195,150.1155240129632,10.234011727674613,-2521
A00742,FAKE,40.42617089471905,-80.12241914804441,39222,314.82537469079506,133.5575387296496,1365
A00217,FAKE,40.36885829398793,-79.95274724430851,25503,357.20715558233564,13.62252353435537,1135
A00385,FAKE,39.92345177341372,-80.63705668803667,21331,389.2821692336921,175.12899503517897,-1735
A00058,FAKE,40.22085256006821,-80.26638682281516,39869,406.6724669040176,134.8044550249057,-2118
A00412,FAKE,40.316533933917555,-78.6662276011326,35719,100.44425462924113,135.60301393820785,-2264
A00748,FAKE,40.653453763116616,-80.88096038967389,36976,450.59920942766774,133.77431588380628,-2893
A01140,FAKE,39.740768983854664,-81.25180098218276,35076,546.4955784721327,134.87991555428167,-2178
A01045,FAKE,39.229968287102025,-78.25478339406462,34967,291.4319416106323,208.86766708987463,-2180
A00532,FAKE,39.984762832341126,-79.45761372964995,33831,101.29064955151098,89.86484083256937,2318
A00547,FAKE,39.995174929238075,-79.57255602021705,28397,395.641468861667,65.35871856885387,-2608
A00048,FAKE,41.2930651040281,-79.040275900177,21672,404.61452967750535,44.16989134461637,204
A01186,FAKE,38.934386266609316,-78.88970747115188,30109,108.24258659359828,116.21294268253399,-2467
A01143,FAKE,40.477372346180076,-79.84210293921119,39667,220.61402875229632,127.371527794809,-2991
A00396,FAKE,41.51236423590234,-78.56733146862774,27246,126.23268170361665,354.2709882035394,-1160
A00405,FAKE,41.39491007840493,-79.49289947268008,34811,421.4238129407961,49.0037599166036,-595
A00830,FAKE,39.973682365401636,-80.79543844130893,38368,210.81521049099774,299.5907142607486,-1610
A00780,FAKE,39.47954835639266,-80.17944817245457,35084,152.73018716949784,154.29113232829405,1347
A01112,FAKE,39.25765441030313,-80.54834836836238,22681,106.56764627146606,318.53793490937596,844
A00393,FAKE,40.21219126217341,-81.25765710896799,24521,283.71045483878794,351.55074774997433,609
A00629,FAKE,40.121712182708,-79.23815540170077,28685,166.55033808097943,12.014483642919869,-1708
A00794,FAKE,40.47953580357736,-81.9339410859969,22283,322.5985205806553,220.9381977069221,-2257
A01015,FAKE,40.57240601576548,-81.73577516284755,26317,452.2151691324066,320.52805918557465,-2577
A00603,FAKE,41.06182600676961,-79.65750270861976,22426,558.1786657166299,84.5063151718642,1618
A00584,FAKE,39.64412550427824,-79.03188625441646,28761,106.3772753426492,348.2172870991996,457
A00340,FAKE,40.779580979941564,-80.62421738554568,36127,219.64310885669116,346.041854508282,-1901
A00166,FAKE,41.48164483858087,-80.52316753660962,31055,304.51313866904866,112.93963415329944,439
A00284,FAKE,40.87804427924839,-78.92791215881401,33263,440.65803159268967,58.87589639379971,-1196
A00061,FAKE,41.18614699900324,-81.14669845537217,28115,204.86808612768306,235.23480690308105,2028
A00059,FAKE,41.43215325060987,-80.82016810010185,38340,497.7380306813391,322.6793035305691,1050
A00855,FAKE,39.594575918958526,-78.67398568832154,37270,369.8968017581229,295.5583571902956,-297
A01086,FAKE,39.09306696386554,-79.04242009893677,36355,126.83296320718503,328.1646924559604,-2915
A00877,FAKE,40.59611339468007,-79.53971316280688,37535,291.4283093028836,190.70308804447194,-1694
A01107,FAKE,40.006677133788045,-81.19849266049741,31833,568.812815925985,342.83835878468113,660
A00601,FAKE,41.23173868670067,-80.52474078985117,33780,496.5408583031883,245.18779302637535,-2414
A00223,FAKE,41.53237062819382,-80.28786588666502,35202,326.12859854852604,103.39978427227301,-2382
A00239,FAKE,40.01941280046098,-79.87178122474417,38545,317.10218834912797,55.941729808476474,2674
A00714,FAKE,40.321426645075846,-80.88854215410376,32263,234.2846997300588,193.5155669739277,1155
A00035,FAKE,41.5652111107839,-80.88415229325282,35472,144.37251948417364,272.6812749116043,-721
A00638,FAKE,41.1256590575804,-80.16452405432729,24395,114.45176070746106,201.79573306156632,-1748
A01181,FAKE,40.32743730776592,-80.69117090684229,24292,177.87408644853173,79.42185175173252,982
A00237,FAKE,40.69090676127238,-78.77599044846797,38814,103.7892789765901,1.044357897480146,861
A00368,FAKE,40.103958611576765,-80.92852505696965,32017,545.9230428011792,24.817264600518037,2841
A00060,FAKE,40.840466698422944,-80.04096697464536,37861,524.3820137174048,111.327423074571,568
A00322,FAKE,40.85306477387552,-78.44861148764784,33953,106.88620126857813,194.35912265546605,-2215
A01099,FAKE,39.36804954832813,-81.35978753205815,28775,445.01415058995525,313.96408184146634,-2189
A00454,FAKE,40.96769736718369,-78.2098798216983,38891,246.38319966794316,276.51321141964644,-2844
A00397,FAKE,41.428372109099904,-80.85796150098061,25537,250.70542685721495,97.46269041183534,260
A01128,FAKE,40.5544741938633,-79.98889769513839,27797,277.1866113808334,143.9234777686336,-1611
A01087,FAKE,40.08912600355939,-79.34796096994287,28365,424.56595982552363,127.88566947056512,1562
A00691,FAKE,40.15121920186158,-80.14066193210903,22837,576.8588419429002,332.26580361867474,471
A00742,FAKE,40.488992585138924,-79.15182981908235,30400,598.4708815960653,211.09947326117668,-1840
A00217,FAKE,40.32059468395482,-79.15472960718446,24066,293.1970312486179,199.4733518561959,1722
A00385,FAKE,40.42399992296658,-80.06372757726703,22611,132.74482768039235,349.28677470356075,1716
A00058,FAKE,41.714961105071254,-78.58416554530834,32511,249.78460453148335,209.6090757474587,-2235
A00412,FAKE,41.34841494839,-80.52454503812439,35492,296.0114379002829,21.433875399209327,1163
A00748,FAKE,39.26975357252518,-79.95489132364011,36270,465.18211593019896,128.58786345536237,636
A01140,FAKE,40.593651753791576,-80.78829009278344,37039,139.78638524152817,110.33396930182053,-860
A01045,FAKE,40.63984848127363,-78.62218714771859,21325,420.5784472266931,254.46252316619083,795
A00532,FAKE,39.54858852056237,-80.20560383068604,30919,541.1459541802478,191.98076621164026,-1542
A00547,FAKE,40.57131735557157,-80.28167390068823,37189,552.2062091940088,133.16671540757423,179
A00048,FAKE,41.11191590908461,-80.01601077468489,21504,144.3517837928096,46.82902068677128,-2348
A01186,FAKE,39.99287559447069,-80.31408099649026,34623,155.8929308792167,67.73624730074826,-1918
A01143,FAKE,39.87281105553142,-80.90798655790618,29104,500.6389027330309,84.09329097001374,1514
A00396,FAKE,40.78134541493571,-79.46377713511386,38447,347.415093236091,177.87952874373266,-1465
A00405,FAKE,40.08175954648087,-80.3707924756703,33544,249.32518576323372,187.08393911886031,759
A00830,FAKE,40.60728722756045,-80.19988351621856,29949,340.45222100576905,290.26485782526186,-2246
A00780,FAKE,39.17099806042797,-80.7427275888174,38730,555.3638780438043,31.140637326844466,2042
A01112,FAKE,39.5679411378703,-79.92036401025896,31738,118.30888600680541,352.5275414989104,-2880
A00393,FAKE,40.80611750490296,-80.21463008977021,22006,547.8600883447891,67.12668834632264,-1332
A00629,FAKE,40.94224005642164,-78.76800471569013,40986,387.4337158637508,303.2609120090746,1607
A00794,FAKE,40.120669449790796,-80.7416669366996,21788,499.67676079798144,47.913843174594575,2971
A01015,FAKE,40.287845305140465,-81.48518977419005,33727,101.78554268031527,4.766589772267061,-1686
A00603,FAKE,40.12232062502024,-80.17481400596338,37280,563.8058944251156,328.60461469621157,1194
A00584,FAKE,40.7947206352625,-80.2386355792513,24150,547.5487193536433,17.54062570873098,-657
A00340,FAKE,40.55517847953197,-81.25364331545671,26870,320.99558621246524,198.0957221725967,1223
A00166,FAKE,40.62932660316746,-79.091071633309,32783,322.7678992533896,184.66595471403585,145
A00284,FAKE,41.49693949925895,-80.92274327733128,25103,125.57192762018295,224.70513173532228,2184
A00061,FAKE,40.497689842322,-80.90301462943756,30837,510.2374547577621,299.35121044333255,1252
A00059,FAKE,41.47792842440739,-78.47012246736068,20629,187.56133489465424,101.35910426418208,-1294
A00855,FAKE,40.21553885688559,-79.49156988380145,32029,270.310310442601,142.03789105292608,-2349
A01086,FAKE,39.9569225993204,-79.97764779919879,36212,390.0645258517865,62.28488240006849,1896
A00877,FAKE,39.77773270492693,-79.61357475352968,26598,347.3845082344154,352.69426345859085,-2857
A01107,FAKE,40.5157674717198,-81.16889614124167,20277,498.81414526871004,104.57315998385889,2418
A00601,FAKE,40.04131322174854,-80.40255212287752,25049,154.6216379945137,190.47137160221152,825
A00223,FAKE,41.49207423138998,-80.77098552898872,36011,384.7633245331913,131.6654822429468,2239
A00239,FAKE,41.20825734801876,-81.08440564120755,21990,495.4013962900526,56.43415730247971,-389
A00714,FAKE,40.81860510354516,-79.96714328964437,34933,493.0394628011569,220.87821003407018,1159
A00035,FAKE,40.771386784048815,-80.99036581239484,30575,256.78216086663133,193.0722389974891,917
A00638,FAKE,40.4211950260357,-79.28572062207591,24382,241.4839022368663,267.8993378456194,1447
A01181,FAKE,39.14214713651222,-81.09068846260077,28951,398.8493283918516,136.42279166610413,-1854
A00237,FAKE,41.393945053671025,-79.23219829702938,39111,522.2776440382647,246.73884612342832,1879
A00368,FAKE,40.75526278467151,-80.81981947008022,39381,583.5227402511462,170.86974112077033,-2294
A00060,FAKE,41.21874400453209,-79.79856592927737,26580,147.18196295633498,190.96741753635828,2607
A00322,FAKE,40.8784338906534,-79.65072032045137,28132,113.55825534908955,316.4091373788245,1210
A01099,FAKE,39.82768561632865,-80.85057477813235,34708,130.90617481937807,219.74836637203745,-2608
A00454,FAKE,40.947397167545105,-80.54495341739904,35252,214.95555480349302,103.62163159496602,1059
A00397,FAKE,40.36511936592539,-80.3761074926162,28862,437.6562137209301,102.67228479557076,-1979
A01128,FAKE,39.79181719795215,-78.95231236443847,35331,200.837348950702,210.0841531504944,-1355
A01087,FAKE,40.342525800799315,-79.18312519636038,21937,192.37628667142354,86.44207185106801,-2088
A00691,FAKE,40.19679883419548,-80.16791330219192,23543,592.8269174110146,173.839179928943,-157
A00742,FAKE,40.4101188362251,-79.4483837298863,22994,465.70458608950986,259.90943819889566,-2314
A00217,FAKE,40.74629412195509,-80.11115455685939,32803,569.9439713416033,151.24583820964713,-530
A00385,FAKE,40.6138710835796,-79.53706221328187,32823,242.73990246259083,208.09052397424108,1552
A00058,FAKE,40.98214400017932,-79.27632723066868,29726,222.0458012342466,123.16503784845176,-1560
A00412,FAKE,40.83754336271558,-80.36394318007756,22255,570.8634670168558,202.93413417273118,2589
A00748,FAKE,39.5039416868893,-80.45098474003288,36534,588.7879077668647,223.4725059449766,-2788
A01140,FAKE,40.571559610317884,-81.78410418580364,25973,323.82309824055545,189.5905911224589,-2759
A01045,FAKE,39.95886368385935,-78.73909257233478,40980,139.58441969914506,8.632525772810435,1790
A00532,FAKE,40.32566154623366,-81.15925614516094,37036,558.0566539527254,251.48250833362746,1865
A00547,FAKE,39.52840436958901,-80.31575716605346,25124,259.1114120676775,210.9322687231205,-380
A00048,FAKE,41.950672576408934,-78.89888816525473,24294,527.0079247144886,75.41442962493437,-2194
A01186,FAKE,39.89276743377241,-78.76983512602165,30715,301.96019831847013,27.115982844917504,1351
A01143,FAKE,40.317634961220136,-80.70187643383166,28786,522.9355238780756,213.71288035894196,745
A00396,FAKE,40.17105176938363,-80.6032995542077,34055,103.16624090442336,93.98633615932835,647
A00405,FAKE,41.05670348937765,-80.00243334801054,39436,205.20864190122904,75.7510030292158,1939
A00830,FAKE,39.01547041092619,-80.47585375499979,38899,410.97923109202947,92.69852726429903,308
A00780,FAKE,40.657161320088655,-79.45930766088355,39769,464.1078685432095,261.39781919917107,-1305
A01112,FAKE,39.00609580299336,-79.1202764934676,37104,231.25177081028906,250.60111735604016,2779
A00393,FAKE,41.02142501593966,-80.84164329208133,37309,425.20616932568817,246.63372781006333,-1634
A00629,FAKE,40.298766361857076,-79.90833034927118,30087,227.7960087108342,116.6775401366887,-908
A00794,FAKE,39.68431638217684,-80.47988962882485,25413,423.4086034512699,9.816782206062811,-2042
A01015,FAKE,39.553116678991586,-79.50596220381196,37609,296.0073848427662,300.9044555339339,1698
A00603,FAKE,40.10431344644909,-80.2883609647034,21635,266.7194046302254,231.62471350638262,-2247
A00584,FAKE,39.78228568283452,-80.57253858873207,23658,132.4990069362377,148.24391554883613,-1868
A00340,FAKE,40.7982209452696,-79.54195385914889,39012,276.9596777028927,212.86382043961686,-94
A00166,FAKE,41.42994773948771,-79.50062663333215,38728,405.08302960890785,189.87537443596767,878
A00284,FAKE,41.102200889523246,-79.70952477338491,25593,207.55725468331912,17.636243859194277,617
A00061,FAKE,41.725861418519365,-79.93287161712486,32364,322.23692188507914,141.7809382369378,702
A00059,FAKE,41.32623306731437,-79.74407289882863,35118,123.0564760505863,124.72992409592679,663
A00855,FAKE,40.160889812437695,-78.9737363803423,39375,193.44021213816094,287.90343214464724,2132
A01086,FAKE,39.223887370074884,-78.42253369550366,33862,457.8529801624596,37.122380913933014,2081
A00877,FAKE,40.58342049259252,-80.84135678151794,31179,431.83457556668384,207.0922529217578,667
A01107,FAKE,39.23458385766781,-80.8260726005944,40262,113.65362139869686,66.29005654347299,-1480
A00601,FAKE,39.65129005619671,-80.80914413363192,28302,335.9526055601123,220.01796235671438,-2959
A00223,FAKE,40.44817814791917,-80.47407754936602,38771,119.15027895036147,233.3725597804699,2247
A00239,FAKE,41.41683725751175,-78.92116908921314,35805,290.07612622289815,56.42137506584086,-406
A00714,FAKE,40.39244811215997,-78.86129507523333,38342,112.0576965683924,141.3920493003752,-141
A00035,FAKE,41.17369871215549,-80.95825488998011,35940,597.2419813884054,2.6093230281156123,-623
A00638,FAKE,39.40136759814814,-80.62416455969053,26483,590.0185612127467,202.74098560777125,3
A01181,FAKE,38.971251603361395,-79.97857752200987,24043,291.3063810873166,169.17649612751586,-2902
A00237,FAKE,41.14954255845716,-80.25580555380016,26704,142.911361961869,73.68416913338852,-2883
A00368,FAKE,39.8629863958126,-79.57184985856455,33286,238.47289514831917,158.4467366823105,-2288
A00060,FAKE,41.07460384894121,-81.11145727811193,24679,334.12663829718844,314.1422081405706,-2240
A00322,FAKE,40.31689850435604,-79.29560419276056,37566,325.8362279524031,174.41598746734138,-1955
A01099,FAKE,39.5201733394981,-81.52676206331536,40389,108.1640716843726,324.6882765744307,-1201
A00454,FAKE,40.15866457900262,-78.90657288336482,23842,571.035305810095,122.97378114073551,2299
A00397,FAKE,39.870150448300805,-80.80703534788292,27827,113.07359380307504,178.3358869640334,-1530
A01128,FAKE,40.16679361666234,-78.85056845966842,36616,493.27022463495905,201.50308853122996,-1966
A01087,FAKE,40.05141907208852,-78.31017066642325,23971,458.49576508644003,27.1808881347583,-2679
A00691,FAKE,39.3023447696094,-80.41123950548847,36229,507.4973840180266,46.15862697798512,-1252
A00742,FAKE,40.3462024000457,-80.07129716434844,20568,212.75139576134728,140.4539140650522,1032
A00217,FAKE,41.56256359663498,-80.0209633380641,31180,578.8108535025616,256.28983995120717,-962
A00385,FAKE,41.50692404276348,-80.54380958829607,30026,299.9661541121322,189.03047901874993,-1668
A00058,FAKE,40.200849262418984,-80.87362108431785,23588,356.38320208229413,91.80855804473819,-1116
A00412,FAKE,41.09269060603417,-78.53907744070449,33330,393.4633090644806,37.533669023056916,-2548
A00748,FAKE,39.42273420783041,-79.865447915833,35233,247.79136565209427,70.1452704690235,-2700
A01140,FAKE,39.092895257221066,-80.84156697923729,32479,468.0456190349989,44.10534995950902,98
A01045,FAKE,39.28349871996896,-78.91639837859984,37734,169.14353906769531,354.38476934892253,1987
A00532,FAKE,39.74845128637824,-81.25901562437315,35024,590.4504246756753,267.9802376620853,82
A00547,FAKE,41.03784073488354,-79.2867907517605,22599,130.68884820638368,69.3158504921925,826
A00048,FAKE,40.984130728108155,-80.75900847239058,27342,532.5526037954425,73.71459930014211,2325
A01186,FAKE,39.413780222925155,-80.20073669621652,27491,129.37233607475775,247.5213107821965,2561
A01143,FAKE,39.26765890680729,-80.63124620830769,30859,139.77501305756792,93.16177629461468,256
A00396,FAKE,39.86157097875234,-78.94672520208161,27198,511.14631079962436,63.595140673715655,-37
A00405,FAKE,41.26517832194696,-80.79707706537002,32141,416.42879357089424,30.026623568888354,-5
A00830,FAKE,39.53792324598757,-80.17521709915205,40870,219.7095194049,50.857953250087434,1561
A00780,FAKE,40.47305440835956,-79.41512365606964,31522,557.9718294975264,114.46941422499194,1059
A01112,FAKE,40.2215205709534,-81.13553178020321,36177,496.2579725477533,175.58480091587163,571
A00393,FAKE,41.36754207452436,-79.74987911149921,21445,293.8531700501869,320.64300119339157,674
A00629,FAKE,40.434144678285776,-78.67973370336777,31981,368.1075581621338,44.35008825875512,-2918
A00794,FAKE,39.583031212622544,-79.61079591877962,33499,496.82526764400274,81.59007855261035,-2364
A01015,FAKE,40.1906289980721,-79.87451675242859,30603,405.8915766312929,304.1702340668952,-691
A00603,FAKE,40.93134551234,-79.43570437706639,29756,353.6014037065446,107.86386785586808,448
A00584,FAKE,40.02219412927773,-80.74053090119557,23630,297.68851548947504,250.01334939819895,-1527
A00340,FAKE,41.13905256662298,-80.77417011109539,32688,486.25027364304356,288.0853292748448,1524
A00166,FAKE,40.04429876525868,-80.71058028689684,25345,158.31314914486413,272.9864553160333,1274
A00284,FAKE,40.857671441685355,-81.15402355374331,36623,140.4876085759255,45.427283182546105,-520
A00061,FAKE,40.80834081569535,-79.2545215063445,35429,314.6670546603207,302.5369060042784,-2497
A00059,FAKE,40.60733099037037,-79.59551217440229,23091,220.73852915898016,247.93272466761812,1803
A00855,FAKE,40.012300842518336,-79.91859555086283,22427,161.4839525176693,185.5419527080222,332
A01086,FAKE,39.503810974248715,-79.84049897078144,34531,463.5891650155577,244.45087633614511,-1170
A00877,FAKE,39.17876285119526,-79.48261063398452,38297,314.6897038252641,287.8017729508569,492
A01107,FAKE,39.51766885291096,-80.69363701625618,21068,165.02996553017675,197.3808671169809,768
A00601,FAKE,40.17856116495904,-79.30447333149758,29440,160.7990799387568,5.856546080746931,-1822
A00223,FAKE,41.139313371440565,-80.58884672653974,28024,197.79905280489174,121.49499621107502,840
A00239,FAKE,41.417730928736376,-80.59892659899131,31682,553.2883169011603,118.54367322729401,-2772
A00714,FAKE,39.7625301936628,-80.51920568123661,30476,370.9362965200142,318.31944715187564,624
A00035,FAKE,40.87277372439823,-81.04032362832451,29508,287.78616787703373,262.72574081098065,-810
A00638,FAKE,40.83104461140862,-79.5346098428489,30705,343.02356879902777,316.0830207923482,-1460
A01181,FAKE,40.326654608004105,-79.64702293168689,38656,443.25638766567414,322.1673843220483,1198
A00237,FAKE,40.8334063264594,-79.41168414201479,25763,115.57147750076204,244.52454977043757,2887
A00368,FAKE,40.816820806769236,-79.5721901268925,25712,578.9842056442274,266.79420574562215,2286
A00060,FAKE,40.481400615422636,-80.81140308149564,23114,287.5892599485192,146.16261171862044,-1261
A00322,FAKE,40.60319989551803,-79.42628634222801,28882,588.9942479830829,264.80471417820524,-2852
A01099,FAKE,40.481584462018546,-81.70846464244018,39487,373.7110056056548,249.05681044249576,-1240
A00454,FAKE,40.97711659046492,-79.65189971656763,28737,388.55568921534103,38.82237111777202,2082
A00397,FAKE,39.939620661451606,-80.66877840374549,26718,133.61601327097645,239.0438274392443,-303
A01128,FAKE,39.518336849999415,-80.16320163533005,34392,529.6060193414987,50.53273497123808,1376
A01087,FAKE,40.6422509787168,-79.74031095357789,22517,205.93028356835117,161.85406857104647,946
A00691,FAKE,40.185880451731144,-80.00688709816781,22348,235.06016744640542,200.1029678834935,2475
A00742,FAKE,39.19047697117907,-80.64954644623478,40363,330.73971750300507,27.23254221322754,822
A00217,FAKE,40.89236507264573,-78.92477097893101,36456,208.7904885310819,335.4265590916216,623
A00385,FAKE,40.10446684976701,-80.64830039471165,37664,221.15207086840974,318.9060904308125,544
A00058,FAKE,40.28295201260999,-80.58488588867503,37470,232.27949479439167,193.47493975561818,1499
A00412,FAKE,40.57754749019728,-79.89835879643171,32948,384.58530956865604,358.3151098012108,184
A00748,FAKE,39.386139664276385,-80.27782511525605,23359,559.9266990109652,120.45582554833132,-656
A01140,FAKE,40.44124212726813,-81.67556311856104,37322,454.1013584162265,53.4645306425954,-2079
A01045,FAKE,39.33885804499534,-80.27206510559633,29212,226.25333948237628,25.482528644803946,1545
A00532,FAKE,40.36578892973589,-80.06848023464951,33974,225.01896987541966,346.2835801224812,455
A00547,FAKE,41.0619479360263,-79.20104392695688,29750,367.70591764586726,330.5653460386325,-2753
A00048,FAKE,40.61380892862626,-79.51754418365726,35356,445.3147459010973,28.22064906468314,2527
A01186,FAKE,38.88745686483168,-78.67564410826121,20962,463.38081099162275,125.0449749894025,-681
A01143,FAKE,40.097457712348124,-80.12604367827068,38332,514.6974810486463,307.2280990417497,-2094
A00396,FAKE,40.32572987581872,-79.83184385707185,25565,398.5031312814464,217.02576180209118,-123
A00405,FAKE,40.43602549633453,-79.83107737799753,26516,366.74142990130093,293.8826125849571,1246
A00830,FAKE,39.178499923280775,-80.27553260522917,24460,589.8140408069082,73.04807422301751,1579
A00780,FAKE,39.62831430288224,-78.98783354109779,26697,570.4660573793345,244.04187426432136,-1245
A01112,FAKE,39.02145514614068,-80.88917484547922,34672,139.8604080968471,199.93594682417054,174
A00393,FAKE,41.0876068151374,-79.89860600448023,38291,233.9031999361162,161.64830499790895,1932
A00629,FAKE,40.28686285281697,-79.73131668395503,34482,183.29518925208066,160.63893629888383,1295
A00794,FAKE,39.55751601543707,-80.22310651247282,35168,257.95775444984434,127.71158284799634,-1916
A01015,FAKE,39.48172661430242,-81.47571216940358,23272,451.4937680380184,240.20295075748393,2673
A00603,FAKE,40.79185355755872,-78.43276912171044,39680,406.0207195855345,30.30370018582588,-2710
A00584,FAKE,41.249331882290754,-80.16629070498072,32198,185.6869024356924,297.8532472836271,1642
A00340,FAKE,40.645906949774115,-78.9818131710663,23614,486.2730268797173,146.94240729963022,1179
A00166,FAKE,40.3428320818223,-79.73935701640987,23374,506.3654589262856,204.19060076955557,-2233
A00284,FAKE,41.04019723348711,-81.09105881463117,40082,119.56873389103498,303.5982017091498,-190
A00061,FAKE,40.808221118236894,-80.36018742527038,33158,469.6278351585064,278.31330705635753,1885
A00059,FAKE,41.58825046953358,-80.21374003202268,21663,496.27796569479545,61.36786053419955,-1815
A00855,FAKE,39.868064208910845,-78.98475162436719,23388,522.1519522903338,193.60523085584572,-2018
A01086,FAKE,39.96275746214209,-80.6263029520008,36270,514.6318068790936,75.45631819044044,2055
A00877,FAKE,38.98000877658809,-78.83789407817444,32745,381.05010687421304,130.33967406839278,1409
